;quest_id;ref_ans
59;ME_65a;If the middle bulb burns out the other 2 bulbs will stay lit.
60;ME_65b;The circuit is parallel, so each bulb has its own pathway to the D-cell battery, so the bulbs that do not burn out continue to shine.
61;ME_69b;You can not tell because we do not know the strength of the magnets. If the magnets are weak, the second piece of foam might put too much distance between the 2 magnets for the interaction to hold the magnets in place. If the magnets are strong the magnets might stay in place.
62;ME_73;Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.
63;MS_64a;Greta and Andre have different sized hands.
64;MS_43a;The marbles used by the 2 groups were probably different masses.
65;MS_43b;Use a standard unit of mass like grams.
66;MS_39;So people know exactly what the measurement means. A standard is necessary so everyone measures using the same unit and everyone gets the same measurement.
67;MS_50a;Bill must have been using degrees Celsius if 28 is a warm temperature.
68;MS_14b;There is 30 grams (20 grams plus 10 grams) in the right cup. The balance is tipped down on the ball side which means the ball weighs more than 30 grams. 40 grams is the only weight heavier than 30 grams.
69;MS_30b;Use a standard unit of measurement such as centimeters or meters.
70;MX_1;The dissolved salt particles are small enough to go through the holes in the filter paper, but the sand particles are too large.
71;MX_22a;A solution is a mixture formed when a solid dissolves in a liquid.
72;MX_24;The solid dissolves (seems to disappear) and the liquid remains clear.
73;MX_52b;Emily's crystals are the same shape as the alum crystals shown on the key.
74;MX_42a;The particles of the solid are too big to go through the holes in the paper filter.
75;MX_16a;Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.
76;MX_46b;The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.
77;MX_47b;Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.
78;MX_10;Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.
79;MX_18;A chemical reaction occurred. [The white solid is a precipitate (a new material) which indicates the reaction.]
80;MX_19;The fizzing indicates a gas, a new material, is produced. When a new material is produced, a chemical reaction has occurred.
81;MX_36a;A solution was created when the eggshells disappeared (dissolved) and the mixture ended up as a clear liquid.
82;MX_36b;A reaction was indicated by the bubbles of gas (a new material) being produced.
83;MX_41;Yes, they could both be correct. Solubility is not the same for all materials.
84;MX_11a;The mixtures are all clear.
85;MX_11c;The concentrations are the same because both mixtures are saturated.
86;MX_11e;Set up evaporation dishes. The water will go into the air (evaporate) and the solid will be left in the dish (crystallize).
87;MX_11f;Jim would see a clear solution. 3 spoons of solid dissolves, so 2 spoons will dissolve.
88;MX_49;X. When equal amounts of 2 solutions are compared, the solution that is more concentrated will have the greater mass (weigh more). 50 milliliters of X has a greater mass than 50 milliliters of Y, so X must be more concentrated.
89;MX_53;Crystals of different materials have different shapes. So the shape will help identify the material.
90;PS_2a;The rubber band vibrates.
91;PS_45b;Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.
92;PS_44;If the string is shorter, the pitch will be higher. If the string is longer, the pitch will be lower.
93;PS_12;The water splashed because the fork was vibrating. Vibrations make sounds.
94;PS_51a;When the string was tighter, the pitch was higher.
95;PS_51b;When the string was shorter, the pitch was higher.
96;PS_15bp;The saxophone has the longest and fattest tube.
97;PS_26p;Agree. Vibrations are movements. Vibrations produce sound.
98;PS_46b;So that people notice the sound.
99;PS_4ap;When the string is tighter, the pitch will be higher.
100;PS_4bp;When the string is longer, the pitch will be lower.
101;SE_10;Shadows change during the day because the Earth is turning. The Sun stays in one place.
102;SE_24a;In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.
103;SE_3c;The tree blocks the light from the Sun.
104;SE_4a;A heat sink is any material that absorbs (a lot of) heat.
105;SE_16b2;20 centimeters size is between 10 and 30 centimeters, so the temperature change must be less than the 30 centimeters container, but more than the 10 centimeters container. 6 degrees Celsius is halfway between.
106;SE_22a;Water heats up faster when covered.
107;SE_22b;Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.
108;SE_22c;When 2 variables are changed, it is impossible to determine which variable is causing what effect.
109;SE_47b;Darker colors absorb more heat than lighter colors. The dark green sheeting is the darkest color available so she should use the green sheeting.
110;SE_51b;The black areas in the 2 collectors (and the collectors themselves) are the same size. The amount of heat absorbed will be the same so the temperature change will also be the same.
111;SE_25a;A. Dry soil heats more quickly and cools off more quickly than water. The graph shows A heats and cools more quickly than B, so A must be the dry soil.
112;SE_31b;A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.
113;SE_45;In the morning the Sun is in the east so shadows point west. In the afternoon the Sun is in the west so shadows point east.
114;SE_46;Yes. Black absorbs more heat (energy) than white. White reflects more heat (energy) than black. Therefore the black covered box will heat up faster than the white covered box.
115;SE_48;C. Black absorbs more heat (energy) than white. Pan C has the most dark surface area so C would heat up the fastest and have the highest temperature.
116;ST_54b2;The cotyledon provides food for the plant to begin growing.
117;ST_54b3;The embryo contains the tiny leaves and root of the plant.
118;ST_58;If a part of the plant contains seeds, that part is the fruit.
119;ST_25b1;The seed coat protects the seed until the plant begins to grow.
120;ST_25b2;The cotyledon provides food for the plant until the plant can make food for itself.
121;ST_52a;The root grows first so the root can take up water for the plant.
122;ST_31b;The elytra are used to make sounds.
123;ST_59;Elena should include a separate shelter for each lizard.
124;VB_1;An experiment is controlled if only one variable is changed at a time.
125;VB_12d;The shorter the string is, the more the string swings in 15 seconds.  The longer the string is, the less the string swings in 15 seconds.
126;VB_40a;The boat with 0 marbles is the standard in this experiment.
127;VB_5a;As time increases, the number of tree rings also increases.
128;VB_5b;As time increases, the speed of light stays the same (remains constant).
129;VB_22c;When less than 3 scoops of fertilizer are used, the more fertilizer used, the greater the mass of beans harvested. When more than 3 scoops of fertilizer are used, the more fertilizer used, the less the mass of beans harvested.
130;VB_42;The more blocks the truck carries, the less distance the truck travels in 10 seconds.
131;VB_15a;The launch position (line on the playground) is the variable that is controlled.
132;VB_15b;Different girls are throwing the balls. The girls use different launch techniques. Each girl uses a different type of ball.
133;VB_15c;All variables except the girl need to be held constant (controlled). The girls all need to throw the same ball and use the same launch technique.
134;VB_29;A standard is used for comparison to determine how changing one variable changes the results.
135;BULB_C_VOLTAGE_EXPLAIN_WHY1;Terminal 1 and the positive terminal are separated by the gap
136;BULB_C_VOLTAGE_EXPLAIN_WHY1;Terminal 1 and the positive terminal are not connected
137;BULB_C_VOLTAGE_EXPLAIN_WHY1;terminal 1 is connected to the negative battery terminal
138;BULB_C_VOLTAGE_EXPLAIN_WHY1;terminal 1 is not separated from the negative battery terminal
139;BULB_C_VOLTAGE_EXPLAIN_WHY1;Terminal 1 and the positive battery terminal are in different electrical states
140;BULB_C_VOLTAGE_EXPLAIN_WHY2;Terminal 2 and the positive terminal are separated by the gap
141;BULB_C_VOLTAGE_EXPLAIN_WHY2;Terminal 2 and the positive terminal are not connected
142;BULB_C_VOLTAGE_EXPLAIN_WHY2;terminal 2 is connected to the negative battery terminal
143;BULB_C_VOLTAGE_EXPLAIN_WHY2;terminal 2 is not separated from the negative battery terminal
144;BULB_C_VOLTAGE_EXPLAIN_WHY2;Terminal 2 and the positive battery terminal are in different electrical states
145;BULB_C_VOLTAGE_EXPLAIN_WHY6;Terminal 6 and the positive terminal are connected
146;BULB_C_VOLTAGE_EXPLAIN_WHY6;Terminal 6 and the positive terminal are not separated by the gap
147;BULB_C_VOLTAGE_EXPLAIN_WHY6;Terminal 6 and the positive terminal are not separated by the gap
148;BULB_C_VOLTAGE_EXPLAIN_WHY6;terminal 6 is not connected to the negative battery terminal
149;BULB_C_VOLTAGE_EXPLAIN_WHY6;There is no gap between terminal 6 and the positive terminal
150;BULB_C_VOLTAGE_EXPLAIN_WHY6;terminal 6 is separated by a gap from the negative battery terminal
151;BULB_C_VOLTAGE_EXPLAIN_WHY6;Terminal 6 and the positive battery terminal are in the same electrical state
152;BULB_ONLY_EXPLAIN_WHY2;Terminals 1 and 2 are connected
153;BULB_ONLY_EXPLAIN_WHY2;Terminals 1 and 2 are not separated by the gap
154;BULB_ONLY_EXPLAIN_WHY2;There is no gap between them
155;BULB_ONLY_EXPLAIN_WHY2;Terminals 1 and 2 are connected and in the same electrical state
156;BULB_ONLY_EXPLAIN_WHY2;There is no gap between terminals 1 and 2
157;BULB_ONLY_EXPLAIN_WHY2;Terminals 1 and 2 are in the same electrical state
158;BULB_ONLY_EXPLAIN_WHY4;Terminals 1 and 4 are connected
159;BULB_ONLY_EXPLAIN_WHY4;Terminals 1 and 4 are not separated by the gap
160;BULB_ONLY_EXPLAIN_WHY4;There is no gap between terminals 1 and 4
161;BULB_ONLY_EXPLAIN_WHY4;Terminals 1 and 4 are connected and in the same electrical state
162;BULB_ONLY_EXPLAIN_WHY4;Terminals 1 and 4 are in the same electrical state
163;BULB_ONLY_EXPLAIN_WHY6;Terminals 1 and 6 are separated by the gap
164;BULB_ONLY_EXPLAIN_WHY6;Terminals 1 and 6 are not connected
165;BULB_ONLY_EXPLAIN_WHY6;Terminals 1 and 6 are not connected and so in different electrical states
166;BULB_ONLY_EXPLAIN_WHY6;There is a gap between terminals 1 and 6
167;BULB_ONLY_EXPLAIN_WHY6;Terminals 1 and 6 are in different electrical states
168;BURNED_BULB_LOCATE_EXPLAIN_Q;Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.
169;BURNED_BULB_LOCATE_EXPLAIN_Q;Measuring voltage indicates the place where the electrical state changes due to a gap.
170;BURNED_BULB_LOCATE_EXPLAIN_Q;Measuring voltage indicates whether two terminals are connected to each other.
171;BURNED_BULB_LOCATE_EXPLAIN_Q;Measuring voltage indicates whether two terminals are separated by a gap.
172;BURNED_BULB_LOCATE_EXPLAIN_Q;A zero voltage means that the terminals are connected.
173;BURNED_BULB_LOCATE_EXPLAIN_Q;A non-zero voltage means that the terminals are not connected.
174;BURNED_BULB_LOCATE_EXPLAIN_Q;A zero voltage means that the terminals are not separated by a gap.
175;BURNED_BULB_LOCATE_EXPLAIN_Q;A non-zero voltage means that the terminals are separated by a gap.
176;BURNED_BULB_LOCATE_EXPLAIN_Q;A non-zero voltage means that there is a damaged bulb.
177;BURNED_BULB_LOCATE_EXPLAIN_Q;A non-zero voltage means that there is a gap
178;BURNED_BULB_LOCATE_EXPLAIN_Q;A zero voltage means that there is no damaged bulb.
179;BURNED_BULB_LOCATE_EXPLAIN_Q;A zero voltage means that there is no gap
180;BURNED_BULB_LOCATE_EXPLAIN_Q;A non-zero voltage means that the terminals have different electrical states.
181;BURNED_BULB_LOCATE_EXPLAIN_Q;A zero voltage means that the terminals have the same electrical state.
182;OTHER_TERMINAL_STATE_EXPLAIN_Q;Terminals 4, 5 and 6 are not connected to the negative battery terminal
183;OTHER_TERMINAL_STATE_EXPLAIN_Q;Terminals 4, 5 and 6 are separated from the negative battery terminal by a gap
184;OTHER_TERMINAL_STATE_EXPLAIN_Q;Terminals 4, 5 and 6 are connected to the positive battery terminal
185;OTHER_TERMINAL_STATE_EXPLAIN_Q;Terminals 4, 5 and 6 are not separated from the positive battery terminal by a gap
186;TERMINAL_STATE_EXPLAIN_Q;Terminals 1, 2 and 3 are connected to the negative battery terminal
187;TERMINAL_STATE_EXPLAIN_Q;Terminals 1, 2 and 3 are not separated from the negative battery terminal by a gap
188;TERMINAL_STATE_EXPLAIN_Q;Terminals 1, 2 and 3 are not connected to the positive battery terminal
189;TERMINAL_STATE_EXPLAIN_Q;Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap
190;VOLTAGE_AND_GAP_DISCUSS_Q;the bulb is damaged
191;VOLTAGE_AND_GAP_DISCUSS_Q;the terminals are not connected
192;VOLTAGE_AND_GAP_DISCUSS_Q;there is a gap
193;VOLTAGE_AND_GAP_DISCUSS_Q;the terminals are separated by a gap
194;VOLTAGE_DEFINE_Q;Voltage is the difference in electrical states between two terminals
195;VOLTAGE_DIFF_DISCUSS_1_Q;the terminals are connected
196;VOLTAGE_DIFF_DISCUSS_1_Q;the terminals are not separated by a gap
197;VOLTAGE_DIFF_DISCUSS_1_Q;there is no gap between the terminals
198;VOLTAGE_DIFF_DISCUSS_1_Q;The terminals are in the same state.
199;VOLTAGE_DIFF_DISCUSS_2_Q;the terminals are not connected
200;VOLTAGE_DIFF_DISCUSS_2_Q;the terminals are separated by a gap
201;VOLTAGE_DIFF_DISCUSS_2_Q;The terminals are separated.
202;VOLTAGE_DIFF_DISCUSS_2_Q;There is a gap.
203;VOLTAGE_DIFF_DISCUSS_2_Q;The terminals are in different electrical states.
204;VOLTAGE_GAP_EXPLAIN_WHY1;Terminal 1 and the positive terminal are separated by the gap
205;VOLTAGE_GAP_EXPLAIN_WHY1;Terminal 1 and the positive terminal are not connected
206;VOLTAGE_GAP_EXPLAIN_WHY1;terminal 1 is connected to the negative battery terminal
207;VOLTAGE_GAP_EXPLAIN_WHY1;terminal 1 is not separated from the negative battery terminal
208;VOLTAGE_GAP_EXPLAIN_WHY1;terminal 1 and the positive battery terminal are in different electrical states
209;VOLTAGE_GAP_EXPLAIN_WHY3;Terminal 3 and the positive terminal are separated by the gap
210;VOLTAGE_GAP_EXPLAIN_WHY3;Terminal 3 and the positive terminal are not connected
211;VOLTAGE_GAP_EXPLAIN_WHY3;terminal 3 is connected to the negative battery terminal
212;VOLTAGE_GAP_EXPLAIN_WHY3;terminal 3 is not separated from the negative battery terminal
213;VOLTAGE_GAP_EXPLAIN_WHY3;Terminal 3 and the positive battery terminal are in different electrical states
214;VOLTAGE_GAP_EXPLAIN_WHY4;Terminal 4 and the positive terminal are connected
215;VOLTAGE_GAP_EXPLAIN_WHY4;Terminal 4 and the positive terminal are not separated by the gap
216;VOLTAGE_GAP_EXPLAIN_WHY4;There is no gap between terminal 4 and the positive terminal
217;VOLTAGE_GAP_EXPLAIN_WHY4;terminal 4 is not connected to the negative battery terminal
218;VOLTAGE_GAP_EXPLAIN_WHY4;terminal 4 is separated by a gap from the negative battery terminal
219;VOLTAGE_GAP_EXPLAIN_WHY4;Terminal 4 and the positive battery terminal are in the same electrical state
220;VOLTAGE_GAP_EXPLAIN_WHY5;Terminal 5 and the positive terminal are connected
221;VOLTAGE_GAP_EXPLAIN_WHY5;Terminal 5 and the positive terminal are not separated by the gap
222;VOLTAGE_GAP_EXPLAIN_WHY5;There is no gap between terminal 5 and the positive terminal
223;VOLTAGE_GAP_EXPLAIN_WHY5;terminal 5 is not connected to the negative battery terminal
224;VOLTAGE_GAP_EXPLAIN_WHY5;terminal 5 is separated by a gap from the negative battery terminal
225;VOLTAGE_GAP_EXPLAIN_WHY5;Terminal 5 and the positive battery terminal are in the same electrical state
226;VOLTAGE_GAP_EXPLAIN_WHY6;Terminal 6 and the positive terminal are connected
227;VOLTAGE_GAP_EXPLAIN_WHY6;Terminal 6 and the positive terminal are not separated by the gap
228;VOLTAGE_GAP_EXPLAIN_WHY6;There is no gap between terminal 6 and the positive terminal
229;VOLTAGE_GAP_EXPLAIN_WHY6;terminal 6 is not connected to the negative battery terminal
230;VOLTAGE_GAP_EXPLAIN_WHY6;terminal 6 is separated by a gap from the negative battery terminal
231;VOLTAGE_GAP_EXPLAIN_WHY6;Terminal 6 and the positive battery terminal are in the same electrical state
232;VOLTAGE_INCOMPLETE_CIRCUIT_2_Q;A battery uses a chemical reaction to maintain different electrical states at the terminals
233;BURNED_BULB_PARALLEL_EXPLAIN_Q1;bulbs B and C are still in closed paths with the battery
234;BURNED_BULB_PARALLEL_EXPLAIN_Q1;If bulb A burns out, bulbs B and C are still in a closed path
235;BURNED_BULB_PARALLEL_EXPLAIN_Q1;each bulb is in its own path
236;BURNED_BULB_PARALLEL_EXPLAIN_Q2;Bulbs A and C are still in closed paths with the battery
237;BURNED_BULB_PARALLEL_EXPLAIN_Q2;Bulbs A and C are in a closed path
238;BURNED_BULB_PARALLEL_EXPLAIN_Q2;each bulb is in its own path
239;BURNED_BULB_PARALLEL_EXPLAIN_Q2;Bulb B is in a separate path
240;BURNED_BULB_PARALLEL_EXPLAIN_Q3;bulbs A and B are still in closed paths with the battery
241;BURNED_BULB_PARALLEL_EXPLAIN_Q3;bulbs A and B are in a closed path
242;BURNED_BULB_PARALLEL_EXPLAIN_Q3;each bulb is in its own path
243;BURNED_BULB_PARALLEL_EXPLAIN_Q3;Bulb C is in a separate path
244;BURNED_BULB_PARALLEL_WHY_Q;Bulbs A and C are still contained in closed paths with the battery
245;BURNED_BULB_PARALLEL_WHY_Q;Bulbs A and C are still in closed paths
246;BURNED_BULB_PARALLEL_WHY_Q;B is not in their paths
247;BURNED_BULB_PARALLEL_WHY_Q;A, B and C are in different paths
248;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2;A and C are in different paths with the battery
249;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2;A and C are not in the same path with the battery
250;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2;A and C are in different paths
251;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q2;A and C are not in the same path
252;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q3;B and C are in the same path with the battery
253;GIVE_CIRCUIT_TYPE_HYBRID_EXPLAIN_Q3;B and C are in the same path
254;GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2;A and C are in different paths with the battery
255;GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2;A and C are not in the same path with the battery
256;GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2;A and C are in different paths
257;GIVE_CIRCUIT_TYPE_PARALLEL_EXPLAIN_Q2;A and C are not in the same path
258;HYBRID_BURNED_OUT_EXPLAIN_Q1;If bulb A burns out, B and C are no longer in a closed path with the battery
259;HYBRID_BURNED_OUT_EXPLAIN_Q1;If bulb A burns out, there is no longer a closed path containing B, C and the battery
260;HYBRID_BURNED_OUT_EXPLAIN_Q1;If bulb A burns out, neither B nor C is in a closed path
261;HYBRID_BURNED_OUT_EXPLAIN_Q3;If C burns out, then A and B are still in a closed path with the battery.
262;HYBRID_BURNED_OUT_EXPLAIN_Q3;If C burns out, then A and B are still in a closed path.
263;HYBRID_BURNED_OUT_WHY_Q2;If C burns out then A and B are still in a closed path with the battery
264;HYBRID_BURNED_OUT_WHY_Q2;There is a closed path with A and B that C is not in.
265;HYBRID_BURNED_OUT_WHY_Q2;If C is damaged, A and B are still in a closed path
266;HYBRID_BURNED_OUT_WHY_Q2;A and B have their own path
267;HYBRID_BURNED_OUT_WHY_Q2;There is still a closed path
268;HYBRID_BURNED_OUT_WHY_Q3;If they are in the same path the burned out bulb affects the other bulb.
269;HYBRID_BURNED_OUT_WHY_Q3;It depends on whether or not they are in the same path
270;HYBRID_BURNED_OUT_WHY_Q3;The damaged bulb and the other bulb must be contained in the same path
271;OPT1_EXPLAIN_Q2;there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery
272;OPT1_EXPLAIN_Q2;there is a path containing A, C, Z and the battery
273;OPT1_EXPLAIN_Q2;there is a path containing A, C, Z and X
274;OPT1_EXPLAIN_Q2;There is a path containing A
275;OPT1_EXPLAIN_Q2;Bulb A is still in a closed path with the battery
276;OPT2_EXPLAIN_Q;Bulb A is in a path which does not contain B and C, so bulbs B and C don't affect it. Bulbs B and C are in the same path. They affect each other, but Bulb A doesn't affect them.
277;OPT2_EXPLAIN_Q;Bulb A is in a path which does not contain B and C and isn't affected by B or C. B and C are in the same path and affect each other.
278;OPT2_EXPLAIN_Q;there is a path containing A and a different path containing B and C
279;PARALLEL_SWITCH_EXPLAIN_Q1;Bulb A is still contained in a closed path with the battery.
280;PARALLEL_SWITCH_EXPLAIN_Q1;Bulb A is still contained in a closed path with the battery and switch Z.
281;PARALLEL_SWITCH_EXPLAIN_Q1;There is no path containing both switch Y and bulb A
282;PARALLEL_SWITCH_EXPLAIN_Q1;Switch Y and bulb A are not in the same closed path
283;PARALLEL_SWITCH_EXPLAIN_Q2;Bulb C was no longer in a closed path with the battery
284;PARALLEL_SWITCH_EXPLAIN_Q2;There was no longer a closed path containing Bulb C and the battery
285;PARALLEL_SWITCH_EXPLAIN_Q2;there is a path containing Z and C. The open switch Z creates a gap
286;PARALLEL_SWITCH_EXPLAIN_Q2;there is a path containing Z and C. Opening of switch Z causes the path to be open
287;PARALLEL_SWITCH_EXPLAIN_Q2;there is a path containing both Z and C
288;PARALLEL_SWITCH_EXPLAIN_Q2;a gap
289;PARALLEL_SWITCH_EXPLAIN_Q2;Bulb C was not in a closed path
290;PARALLEL_SWITCH_EXPLAIN_Q2;Bulb C was in no closed path
291;PARALLEL_SWITCH_EXPLAIN_Q2;There are no closed paths
292;PARALLEL_SWITCH_EXPLAIN_Q3;If a bulb and a switch are in the same path the switch affects the bulb
293;PARALLEL_SWITCH_EXPLAIN_Q3;The switch and the bulb have to be in the same path
294;SWITCH_TABLE_EXPLAIN_Q1;Bulb A was still contained in the same closed path with the battery.
295;SWITCH_TABLE_EXPLAIN_Q1;Bulb A is still contained in a closed path with the battery and switch X.
296;SWITCH_TABLE_EXPLAIN_Q1;there is no path containing both switch Y and bulb A
297;SWITCH_TABLE_EXPLAIN_Q1;Switch Y and bulb A are not in the same closed path
298;SWITCH_TABLE_EXPLAIN_Q2;Bulb B and Bulb C were still contained in the same closed path with the battery.
299;SWITCH_TABLE_EXPLAIN_Q2;no path containing both the switch X and either bulb B or bulb C
300;SWITCH_TABLE_EXPLAIN_Q2;There is a path with B and C that does not include X
301;SWITCH_TABLE_EXPLAIN_Q3;When the switch and the bulb are contained in the same path
302;CONDITIONS_FOR_BULB_TO_LIGHT;there is a closed path containing both the bulb and a battery
303;CONDITIONS_FOR_BULB_TO_LIGHT;the bulb and the battery are in a closed path
304;CONDITIONS_FOR_BULB_TO_LIGHT;the circuit has a closed path
305;CONDITIONS_FOR_BULB_TO_LIGHT;there is a complete circuit
306;CONDITIONS_FOR_BULB_TO_LIGHT;One terminal of the bulb has to be connected to one terminal of the battery, and the other terminal of the bulb has to be connected to the different terminal of the battery.
307;DAMAGED_BUILD_EXPLAIN_Q;bulb B creates a gap
308;DAMAGED_BUILD_EXPLAIN_Q;a gap
309;DAMAGED_BUILD_EXPLAIN_Q;there is a gap in a circuit
310;DAMAGED_BUILD_EXPLAIN_Q;there is an open path
311;DAMAGED_BUILD_EXPLAIN_Q;there is an incomplete circuit
312;DAMAGED_BUILD_EXPLAIN_Q;there is no closed path
313;DAMAGED_BULB_EXPLAIN_2_Q;a damaged bulb creates a gap
314;DAMAGED_BULB_EXPLAIN_2_Q;there is a gap in the circuit
315;DAMAGED_BULB_EXPLAIN_2_Q;there is an open path
316;DAMAGED_BULB_EXPLAIN_2_Q;there is no closed path
317;DAMAGED_BULB_EXPLAIN_2_Q;there is an incomplete circuit
318;GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q;A and C are in the same closed path
319;GIVE_CIRCUIT_TYPE_SERIES_EXPLAIN_Q;A and C are in the same path
320;SHORT_CIRCUIT_EXPLAIN_Q_2;The battery in 2 is not in a closed path
321;SHORT_CIRCUIT_EXPLAIN_Q_2;there is no closed path containing the battery
322;SHORT_CIRCUIT_EXPLAIN_Q_2;the battery is in an open path
323;SHORT_CIRCUIT_EXPLAIN_Q_4;Circuit 4 has no closed paths
