;dtset;qtype;stype;quest_id;num_resp_ref;num_resp_est;num_aciertos;question;ref_ans
11;sciEntsBank;;;EM_47;1;35;11;The sand and flour in the gray material from mock rocks is separated by mixing with water and allowing the mixture to settle. Explain why the sand and flour separate.;The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.
12;sciEntsBank;;;FN_20a;1;36;5;Anna wants to compare the fat in walnuts and peanuts, but she isn't sure how. Write a procedure Anna can use to compare the fat in walnuts and peanuts.;Measure out equal masses of walnuts and peanuts. Smash the samples uniformly in the same size area on brown paper. Wait the same time for each sample.
13;sciEntsBank;;;FN_20b;1;36;24;Anna wants to compare the fat in walnuts and peanuts. Using only the results from her experiment, how will Anna know which one, walnuts or peanuts, has more fat? The experiment has the following procedure: Measure out equal masses of walnuts and peanuts (for example, one gram). Smash the samples uniformly in the same size area on brown paper. Wait (the same time for each).;Anna should compare the size of the grease spots. The sample with the larger grease spot has more fat.
14;sciEntsBank;;;FN_19b;1;36;23;Susan has samples of 5 different foods. Using only the results of her experiment, how will Susan know which food contains the most sugar?;Susan should compare the amount of gas in each bag. The bag with the most gas contains the food with the most sugar.
15;sciEntsBank;;;FN_24b;1;36;22;Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Are Fruity Cream cookies pure sugar? What is your evidence?;No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.
16;sciEntsBank;;;FN_24c;1;36;10;Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Why did Diva need to test pure sugar?;Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.
17;sciEntsBank;;;FN_17a;1;36;26;Paula wants to test a food to see if it contains acid and/or sugar. When Paula added water and yeast to a sample of the food and put the mixture in a warm water bath, the mixture began to fizz and bubble. What does this chemical reaction indicate?;The food contains sugar.
18;sciEntsBank;;;FN_17c;1;36;7;Paula wants to test a food to see if it contains acid and/or sugar. When Paula added water and yeast to a sample of the food and put the mixture in a warm water bath, the mixture began to fizz and bubble. Paula tested for the other substance. What would the test results tell her?;If gas (carbon dioxide) is produced, the food contains acid. If no gas is produced, the food does not contain acid.
19;sciEntsBank;;;FN_27a;1;35;24;Jana and Emily used indophenol to test 3 beverages for vitamin C. The number of drops they added to make a 10 milliliter sample of the blue indophenol indicator become colorless are given here: 8 drops of Overly Orange 13 drops of Luscious Lemon 33 drops of Fruitsnap (and it still didn't change color). Does Overly Orange or Luscious Lemon contain a higher concentration of vitamin C? What is the evidence?;Overly Orange takes fewer drops to change the color of indophenol so Overly Orange has a higher concentration of vitamin C.
20;sciEntsBank;;;FN_27b;1;36;29;Jana and Emily used indophenol to test 3 beverages for vitamin C. The number of drops they added to make a 10 milliliters sample of the blue indophenol indicator become colorless are given here: 8 drops of Overly Orange 13 drops of Luscious Lemon 33 drops of Fruitsnap (and it still didn't change color). Why didn't the indophenol change color with Fruitsnap?;Fruitsnap contains little or no vitamin C so Fruitsnap does not change the color of the indophenol.
21;sciEntsBank;;;II_13a;1;36;25;Look at the finger patterns below, then answer the questions. What is the same about the finger patterns?;Both finger patterns are loops.
22;sciEntsBank;;;II_26;1;34;7;Look at the rubbings of 2 different fabrics. What do the rubbings tell us about the different textures of these 2 fabrics?;Fabric A is smoother and has a finer texture. Fabric B is rougher and has a coarser texture.
23;sciEntsBank;;;II_13b;1;35;9;Look at the finger patterns below, then answer the questions. What is different about the finger patterns?;The loops begin at opposite sides of the print.
24;sciEntsBank;;;II_24b;1;36;12;Design a way to use carbon printing to find out if 2 Labrador retrievers have the same paw patterns. How will you know if the 2 dogs have paw patterns that are the same?;Compare prints to see if the patterns are the same.
25;sciEntsBank;;;II_20b;1;36;7;When Sarah did the chromatography test, she saw that one black ink stayed black and didn't separate. She discovered that she had used a permanent marker. She wondered what would happen if she used a different liquid. She wrote in her science notebook, What if I used vinegar in place of the water? Can I get the pigments in permanent ink to separate? How will Sarah know if vinegar separated the permanent ink?;Seeing multiple colors would show that vinegar can separate the permanent ink.
26;sciEntsBank;;;II_38;1;36;9;Describe what you would see if a mirror were placed along a line of symmetry on a flat object.;The mirror would complete the image of the object and make the object appear whole.
27;sciEntsBank;;;LF_39;1;36;3;Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.;2: Trace the features from the photograph onto the overlay grid. 4: Transfer the features to the matching squares on the smaller grid in your notebook.
28;sciEntsBank;;;LF_31b;1;34;3;What process forms deltas? A. Gravity B. Erosion (C. Deposition) D. Decomposition.  Explain how deltas form.;Earth materials erode and are carried by flowing water (a river). The earth materials form a delta when the materials are dropped off or deposited when the water stops flowing (at the mouth of a river).
29;sciEntsBank;;;LF_33b;1;35;13;Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?;The clay particles are lighter or smaller and are therefore carried farther by the water, so the clay particles end up the greatest distance away from the mouth of the river.
30;sciEntsBank;;;LF_34b;1;36;5;Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?;Water will always flow downhill (mountain to valley).
31;sciEntsBank;;;LF_18a;1;36;13;How does the water flow in a creek during a flood compared to normal water flow?;During a flood there is more water in the creek and the water flows faster.
32;sciEntsBank;;;LF_28a2;1;36;3;"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?";You can see how much time is taken for the earth materials to move.
33;sciEntsBank;;;LF_26a2;1;36;8;Pam and her family were planning a hike. Pam found 2 maps of the same area. Her friend recommended she use the topographic map when they went to the lake. Why would Pam's friend recommend using the topographic map for the hike?;She recommended the topographic map because the map shows the elevations along the trail. Pam would know where the trail was the steepest.
34;sciEntsBank;;;LF_26b2;1;36;9;Pam and her family were planning a hike. Pam found 2 maps of the same area. Her friend recommended she use the topographic map when they went to the lake. Which letter (Q, R, or S) on the map is on the steepest part of the trail? (Q) How do you know it is the steepest part of the trail?;The contour lines are closest together at Q.
35;sciEntsBank;;;LF_13a;1;36;14;What happens to earth materials during deposition?;Earth materials settle out during deposition.
36;sciEntsBank;;;LF_27a;1;36;14;The change in elevation between contour line A and contour line B is 20 meters. What is the change in elevation between contour line A and contour line C? How do you know that is the change in elevation between A and C?;40 meters. The change in elevation is 20 meters between A and B and 20 meters between B and C. So the change between A and C is 40 meters. 20 m plus 20 m equals 40 m.
37;sciEntsBank;;;LF_6b;1;36;6;Mark an X next to each of the following that can cause more erosion in a streamtable experiment. (Use a water source with a bigger hole.) Use a water source with a smaller hole.  Make the slope flatter. (Make the slope steeper.) Explain why your choices cause more erosion.;A bigger hole puts more water in the stream. Increased flow moves more earth materials, increasing erosion. A steeper slope makes the water flow faster. Faster flow moves more earth materials, increasing erosion.
38;sciEntsBank;;;LP_15c;1;36;18;What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?;If the effort is applied farther from the fulcrum, less effort will lift the load.
39;sciEntsBank;;;LP_16d;1;34;16;Look at the illustration of the pulley system at the right to answer the questions. What additional disadvantages might there be to this system compared to a single fixed pulley system?;You have to pull up in this system.  In the single fixed pulley system, you get a directional advantage.
40;sciEntsBank;;;ME_27b;1;36;18;How can you use a magnet to find out if the key is iron or aluminum?;"If the key sticks, the key is iron; if the key does not stick the key is aluminum."
41;sciEntsBank;;;ME_28b;1;32;6;Look at the picture on the right. Label the poles on each magnet. (The bottom 2 magnets are stuck together, the others are not.) What is the rule that explains why you labeled the poles the way you did?;Like poles repel and opposite poles attract.
42;sciEntsBank;;;ME_30;1;36;14;Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?;A car is made of a lot of iron or steel.
43;sciEntsBank;;;ME_5b;1;36;13;Anne is investigating which objects stick to magnets. She recorded this in her notebook. I was surprised! A nail was stuck to the magnet. When I accidentally touched the nail to a paperclip, the paperclip stuck to the nail. If Anne touched the nail to a brass ring, what do you think would happen and why?;The brass ring would not stick to the nail because the ring is not iron. The nail is a temporary magnet, but brass cannot become a temporary magnet and thus does not stick to magnets.
44;sciEntsBank;;;ME_66a;1;36;18;Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?;No, string is an insulator, so the pathway would not be completed.
45;sciEntsBank;;;ME_66b;1;36;15;Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of aluminum foil to make the connection? Why or why not?;Yes, aluminum foil is a metal and all metals conduct. The aluminum foil would complete the circuit.
46;sciEntsBank;;;ME_6b;1;36;27;Look at the diagram of a circuit at the right. Will the motor run? Why?;The circuit is not complete. The electrical pathway is broken.
47;sciEntsBank;;;ME_72;1;36;24;Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?;That circuit is the only circuit that uses all of the correct contact points.
48;sciEntsBank;;;ME_7a;1;35;9;Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.;Lee should put one of the loose wires on one part of the object and the other loose wire on another part of the object and see if the object completes the circuit.
49;sciEntsBank;;;ME_7b;1;36;26;Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?;If the motor runs, the object is a conductor.
50;sciEntsBank;;;ME_17a;1;36;23;Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?;The bulb will light.
51;sciEntsBank;;;ME_17b;1;35;16;Denise made a circuit to light a bulb or run a motor off a D-cell battery. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Why will the bulb light when she moves the switch to the left?;There is a complete circuit connecting the bulb to the D-cell battery.
52;sciEntsBank;;;ME_17c;1;35;24;Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the right?;The motor will run.
53;sciEntsBank;;;ME_17d;1;36;21; Denise made a circuit to light a bulb or run a motor off a D-cell battery. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Why will the motor run when she moves the switch to the right?;There is a complete circuit connecting the motor to the D-cell battery.
54;sciEntsBank;;;ME_17e;1;36;11;Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Can she run both the light and the motor at the same time? Why or why not?;No. Only one circuit can be complete at a time.
55;sciEntsBank;;;ME_38a;1;36;7;Trace over the complete circuit with your pencil to show where it is. Even though there is a complete circuit, the bulb will not light. Why not?;The circuit does not include both contact points on the bulb holder, so the electricity can not go through the bulb.
56;sciEntsBank;;;ME_10;1;38;13;The motors shown at the right with the D-cell batteries will NOT run. Explain why.;The negative terminals of the D-cell batteries are facing each other, so there is no flow of electricity.
57;sciEntsBank;;;ME_78b;1;36;3;Look at the picture of the circuit to the right. What will happen to the motor if the light bulb burns out?;The motor will continue to run because the motor still has a pathway to the D-cell.
58;sciEntsBank;;;ME_79;1;36;12;Kurt was investigating which objects stick to magnets. He made an entry in his science notebook and drew a picture to help explain what he did. Look what I did! I picked up a paperclip with a magnet. Then that paperclip picked up another one, and then another one. And they weren't hooked together either. All they had to do was touch each other. Explain to Kurt why he was able to pick up all those paperclips, even though the magnet was only touching the first one.;When a paperclip sticks to a magnet, the paperclip turns into a temporary magnet, so the paperclip can stick to other paperclips and other things made of iron.
59;sciEntsBank;;;ME_65a;1;38;30;Look at the schematic diagram. What will happen to the other 2 bulbs if the middle bulb burns out?;If the middle bulb burns out the other 2 bulbs will stay lit.
60;sciEntsBank;;;ME_65b;1;36;17;Look at the schematic diagram including a D-cell battery and 3 bulbs. Why do the other 2 bulbs stay lit if the middle bulb burns out?;The circuit is parallel, so each bulb has its own pathway to the D-cell battery, so the bulbs that do not burn out continue to shine.
61;sciEntsBank;;;ME_69b;1;36;6;A magnet attracted another magnet even when a foam block was placed between them (see box A below). What do you think would happen if 2 foam blocks were placed between the 2 magnets (see box B). A. The magnets will stick. B. The magnets will not stick. (C. It might stick, but it might not.) Explain why you chose that answer.;You can not tell because we do not know the strength of the magnets. If the magnets are weak, the second piece of foam might put too much distance between the 2 magnets for the interaction to hold the magnets in place. If the magnets are strong the magnets might stay in place.
62;sciEntsBank;;;ME_73;1;39;24;Wendy is making an electromagnet. She wrapped a long, insulated wire around an iron nail. What should Wendy do next to complete the electromagnet?;Wendy should hook one end of the wire to the negative side of a D-cell battery and the other end to the positive side of the D-cell battery.
63;sciEntsBank;;;MS_64a;1;36;29;Greta used her hand to measure the length of the whiteboard in her classroom. She found that it was 14 hands long. Andre measured the whiteboard and found that it was 16 hands long. Explain why Greta and Andre got different measurements.;Greta and Andre have different sized hands.
64;sciEntsBank;;;MS_43a;1;36;11;2 groups used marbles to weigh the same apple. Jin's group found the apple weighed 35 marbles and Bee's group found the same apple weighed 60 marbles. Both groups used the correct procedure. Since they weighed the same apple, what do you think happened to make the results different?;The marbles used by the 2 groups were probably different masses.
65;sciEntsBank;;;MS_43b;1;36;13;2 groups used marbles to weigh the same apple. Jin's group found the apple weighed 35 marbles and Bee's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?;Use a standard unit of mass like grams.
66;sciEntsBank;;;MS_39;1;36;17;Why is it important to use a standard unit when making a measurement?;So people know exactly what the measurement means. A standard is necessary so everyone measures using the same unit and everyone gets the same measurement.
67;sciEntsBank;;;MS_50a;1;36;20;Jen was talking on the phone with her Uncle Bill who lives in Canada. When she asked him how the weather was, he said it was nice and warm, about 28 degrees. What unit is Uncle Bill using to report the temperature?;Bill must have been using degrees Celsius if 28 is a warm temperature.
68;sciEntsBank;;;MS_14b;1;36;7;"Look at the picture below [which shows a balance tipped down on the side containing a ball; the right cup has 20 grams and 10 grams mass pieces]. The mass of the ball is one of the following. It must be A. 20 grams. B. 30 grams. (C. 40 grams.) Explain why you chose the answer that you did.";There is 30 grams (20 grams plus 10 grams) in the right cup. The balance is tipped down on the ball side which means the ball weighs more than 30 grams. 40 grams is the only weight heavier than 30 grams.
69;sciEntsBank;;;MS_30b;1;36;29;Mary told her friend Sharice that she had a rug to sell. Sharice asked if the rug would fit perfectly, wall to wall, in her bedroom. Mary went home and measured the rug. She put her feet heel-to-toe and counted the number of shoe lengths it took to measure the rug. She found the rug was 18 shoes long and 12 shoes wide. Sharice did the same thing in her room to measure the space for the rug. Her floor was 18 shoes long and 12 shoes wide. A perfect fit! Sharice bought the rug and took it home. To her dismay, she found it was too short and too narrow for her bedroom! What could Mary and Sharice do to better measure the size of the rug?;Use a standard unit of measurement such as centimeters or meters.
70;sciEntsBank;;;MX_1;1;32;10;Gerry used a paper filter to separate a mixture of sand, salt, and water. Think about particle size and answer this question: Why did the salt go through the filter while the sand got caught?;The dissolved salt particles are small enough to go through the holes in the filter paper, but the sand particles are too large.
71;sciEntsBank;;;MX_22a;1;36;10;A solution is a type of mixture. What makes it different from other mixtures?;A solution is a mixture formed when a solid dissolves in a liquid.
72;sciEntsBank;;;MX_24;1;31;7;How do you know when a solid and a liquid form a solution?;The solid dissolves (seems to disappear) and the liquid remains clear.
73;sciEntsBank;;;MX_52b;1;36;8;Emily put 20 milliliters of a mystery solution in an evaporation dish. When all the water was gone, she drew the picture of the dish you see here.  Using the crystal-shape key below, what chemical do you think was dissolved in the solution? A. Epsom salt B. Sodium thiosulfate (C. Alum) D. None of the above. Explain why you chose that answer.;Emily's crystals are the same shape as the alum crystals shown on the key.
74;sciEntsBank;;;MX_42a;1;36;17;Joanne mixed material R and material D together, added water, and stirred. After a few minutes, the liquid was clear and there was a solid on the bottom of the cup. Joanne used a paper filter to separate the solid from the liquid. Why does the solid stay in the filter when the liquid goes through?;The particles of the solid are too big to go through the holes in the paper filter.
75;sciEntsBank;;;MX_16a;1;34;3;Mariella made a saturated solution by adding a solid to 100 milliliters water. Richard made a saturated solution by adding the same solid to 250 milliliters water. Do the 2 saturated solutions have the same concentration? Explain your answer.;Yes. If both solutions are saturated (and at the same temperature), the solutions will both have the same concentration. Once a solution is saturated, the solution cannot get any more concentrated.
76;sciEntsBank;;;MX_46b;1;35;8;Nigel made solutions in the bottles as shown below. Solution A was 2 spoons solute in 50 milliliters water and was clear with no material on the bottom. Solution B was 4 spoons solute in 100 milliliters water and was clear with no material on the bottom. Nigel took 50 milliliters of solution from bottle A and put it in cup A and 50 milliliters of solution from bottle B and put it into cup B. He put the cups on each side of the balance. Which picture shows what would happen? A is heavier than B, B is heavier than A, (A and B are the same weight). Explain your choice.;The solutions have the same concentration (2 spoons in 50 milliliters is the same as 4 spoons in 100 milliliters) so the mass would also be the same.
77;sciEntsBank;;;MX_47b;1;36;9;Tabby made 2 solutions using the same solute and water. [Cup one has 6 spoons solute in 50 milliliters water. Cup 2 has 8 spoons solute in 50 milliliters water. Both solutions are clear with material on the bottom.] Which sentence below describes the concentrations of the 2 solutions? (A. The solutions in the cups have the same concentration.) B. Cup one has the more concentrated solution. C. Cup 2 has the more concentrated solution. D. There is not enough information to answer the question. Explain your choice.;Both solutions are saturated (as indicated by the material on the bottom) so, even though one cup has more spoonfuls of sugar, both have the same (maximum) concentration.
78;sciEntsBank;;;MX_10;1;36;12;Jorge added solid material to a container of clear colorless liquid. The mixture began to bubble. Explain why Jorge knew a chemical reaction occurred.;Bubbling means a gas has formed. Gas is a new material. A new material indicates a reaction.
79;sciEntsBank;;;MX_18;1;35;3;A solution of water and material A is clear. A solution of water and material B is also clear. When the 2 solutions are mixed, a white solid settles to the bottom, leaving a clear liquid. What does the white solid indicate?;A chemical reaction occurred. [The white solid is a precipitate (a new material) which indicates the reaction.]
80;sciEntsBank;;;MX_19;1;36;14;When Amy added water to a mixture of baking soda and citric acid, the mixture began fizzing. Amy concluded there was a chemical reaction because it fizzed. Why is fizzing evidence of a chemical reaction?;The fizzing indicates a gas, a new material, is produced. When a new material is produced, a chemical reaction has occurred.
81;sciEntsBank;;;MX_36a;1;36;18;Grace set up a science experiment. Here's what she wrote in her notebook. First I put eggshells into a cup and covered them with vinegar. After a while, small bubbles appeared on the surface of the eggshells. The next day there were more bubbles. In a couple of days, the eggshells were gone and the liquid was clear. I think I made a solution and a reaction. Explain why Grace thinks she made a solution.;A solution was created when the eggshells disappeared (dissolved) and the mixture ended up as a clear liquid.
82;sciEntsBank;;;MX_36b;1;36;29;Grace set up a science experiment. Here's what she wrote in her notebook. First I put eggshells into a cup and covered them with vinegar. After a while, small bubbles appeared on the surface of the eggshells. The next day there were more bubbles. In a couple of days, the eggshells were gone and the liquid was clear. I think I made a solution and a reaction. Explain why Grace thinks she made a reaction.;A reaction was indicated by the bubbles of gas (a new material) being produced.
83;sciEntsBank;;;MX_41;1;33;14;Janet found the solubility of silver chloride to be 86 grams in 50 milliliters of water. Mike found the solubility of silver nitrate to be 108 grams in 50 milliliters of water. Janet and Mike thought they must have made a mistake. They thought the solubilities of all materials in water should be the same. Is it possible that both solubilities are correct? Explain your answer.;Yes, they could both be correct. Solubility is not the same for all materials.
84;sciEntsBank;;;MX_11a;1;35;25;Jim used a solid and water to make Mixture one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), Mixture 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), Mixture 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and Mixture 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. What evidence does Jim have that the solid and water make a solution?;The mixtures are all clear.
85;sciEntsBank;;;MX_11c;1;35;15;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. Is the concentration of Mixture 5 less than, greater than, or the same as the concentration of Mixture 4? Explain your answer.;The concentrations are the same because both mixtures are saturated.
86;sciEntsBank;;;MX_11e;1;35;4;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. Describe how Jim could separate the dissolved solid from the water in Mixture one. What happens to the solid and to the water?;Set up evaporation dishes. The water will go into the air (evaporate) and the solid will be left in the dish (crystallize).
87;sciEntsBank;;;MX_11f;1;34;11;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. If Jim made Mixture 2 with 2 spoons of solid in 100 milliliters of water, what would he observe? What evidence do you have to support this?;Jim would see a clear solution. 3 spoons of solid dissolves, so 2 spoons will dissolve.
88;sciEntsBank;;;MX_49;1;36;4;Beth made 2 solutions of different concentrations of water and citric acid. She put 50 milliliters of the first solution in cup X and 50 milliliters of the second solution in cup Y. When she put the cups on the balance, the balance looked as shown below. Which solution, X or Y, is more concentrated? Explain how you know which is more concentrated.;X. When equal amounts of 2 solutions are compared, the solution that is more concentrated will have the greater mass (weigh more). 50 milliliters of X has a greater mass than 50 milliliters of Y, so X must be more concentrated.
89;sciEntsBank;;;MX_53;1;34;10;Adam's friend gave him a cup filled with a water solution. Adam did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?;Crystals of different materials have different shapes. So the shape will help identify the material.
90;sciEntsBank;;;PS_2a;1;104;49;Why does a rubber band make a sound when you pluck it (pull and let go quickly)?;The rubber band vibrates.
91;sciEntsBank;;;PS_45b;1;107;3;Nathaniel and Sammy are trying to make up a code for sending messages to each other by dropping items in a drop chamber and listening to them. Sammy wants to design a code using blocks made of plastic, metal, and wood. Nathaniel thinks it would be a better idea to use wooden blocks of different sizes and shapes. Which student's method would make it easier to tell the difference between the sounds? Why?;Sammy's. Different materials would make very different sounds. Different size wood would make very similar sounds.
92;sciEntsBank;;;PS_44;1;49;38;A harp has strings of different lengths. Describe how the sound of a short string being plucked (pulled and let go quickly) is different from the sound of a long string being plucked.;If the string is shorter, the pitch will be higher. If the string is longer, the pitch will be lower.
93;sciEntsBank;;;PS_12;1;36;7;Mary was trying to understand how tuning forks make sounds. She hit the tuning fork on the table and placed the tuning fork into a cup full of water while it was still ringing. The water splashed in all directions. How did seeing what happened help Mary understand how a tuning fork makes sounds?;The water splashed because the fork was vibrating. Vibrations make sounds.
94;sciEntsBank;;;PS_51a;1;36;19;Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.;When the string was tighter, the pitch was higher.
95;sciEntsBank;;;PS_51b;1;35;21;Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. Katie also discovered that when she pressed down on a string with her finger, making the string shorter, the sound again changed. Describe how the sound was different when the string was shortened.;When the string was shorter, the pitch was higher.
96;sciEntsBank;;;PS_15bp;1;35;17;Below are pictures of wind instruments. You blow air through them to produce sounds. Why does [the saxophone] make the lowest sounds?;The saxophone has the longest and fattest tube.
97;sciEntsBank;;;PS_26p;1;36;23;"Kate said: ""An object has to move to produce sound."" Do you agree with her? Why or why not?";Agree. Vibrations are movements. Vibrations produce sound.
98;sciEntsBank;;;PS_46b;1;35;27;Why was the siren's sound designed to have this property?;So that people notice the sound.
99;sciEntsBank;;;PS_4ap;1;36;23;Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla pulled the string tighter?;When the string is tighter, the pitch will be higher.
100;sciEntsBank;;;PS_4bp;1;36;22;Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?;When the string is longer, the pitch will be lower.
101;sciEntsBank;;;SE_10;1;36;19;Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?;Shadows change during the day because the Earth is turning. The Sun stays in one place.
102;sciEntsBank;;;SE_24a;1;36;3;The drawing above shows a plaza in the afternoon. Label the west side of the drawing with a W. Label the north side of the drawing with an N. How did you know which direction was west?;In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.
103;sciEntsBank;;;SE_3c;1;36;13;Why does the tree shown in the picture have a shadow?;The tree blocks the light from the Sun.
